,last_price,previous_price,date,percent_from_previous,action_type,raw.high,raw.low,raw.vol,raw.last,raw.buy,raw.sell,raw.open,raw.date,sma.low_period,sma.high_period,sma.low_previous,sma.low_current,sma.high_previous,sma.high_current,sma.low,sma.high
0,320413.50923,320413.50923,10/03/2021 20:24:38,0.0,sell,325000.00000000,303000.00000000,338.95558955,320413.50923000,320320.01000000,320413.50923000,314980.00000000,1615418678,7,21,320413.50922999997,320413.50922999997,320400.15372857125,320400.15370428556,0,0
0,320413.50923,320413.50923,10/03/2021 20:24:39,0.0,sell,325000.00000000,303000.00000000,338.95558955,320413.50923000,320320.01000000,320413.50923000,314980.00000000,1615418679,7,21,320413.50922999997,320413.50922999997,320400.15370428556,320400.15369619033,0,0
0,320413.50923,320413.50923,10/03/2021 20:24:40,0.0,sell,325000.00000000,303000.00000000,338.95715003,320413.50923000,320413.50000000,320413.50923000,314980.00000000,1615418681,7,21,320413.50922999997,320413.50922999997,320400.15369619033,320400.1536880951,0,0
0,320413.50923,320413.50923,10/03/2021 20:24:42,0.0,sell,325000.00000000,303000.00000000,338.95365003,320413.50923000,320413.50000000,320413.50913000,314980.00000000,1615418682,7,21,320413.50922999997,320413.50922999997,320400.1536880951,320400.1536799999,0,0
0,320413.50923,320413.50923,10/03/2021 20:24:43,0.0,sell,325000.00000000,303000.00000000,338.95330401,320413.50923000,320413.50000000,320413.50913000,315000.00000000,1615418683,7,21,320413.50922999997,320413.50922999997,320400.1536799999,320400.15367190464,0,0
0,320413.5,320413.50923,10/03/2021 20:24:44,-2.8806525815057257e-06,sell,325000.00000000,303000.00000000,338.95348075,320413.50000000,320413.50000000,320413.50923000,315000.00000000,1615418684,7,21,320413.50922999997,320413.5079114285,320400.15367190464,320400.1532242856,0,0
0,320413.5,320413.5,10/03/2021 20:24:45,0.0,sell,325000.00000000,303000.00000000,338.95348075,320413.50000000,320413.50000000,320413.50923000,315000.00000000,1615418685,7,21,320413.5079114285,320413.5065928571,320400.1532242856,320404.6046338094,0,0
0,320413.5,320413.5,10/03/2021 20:24:47,0.0,sell,325000.00000000,303000.00000000,338.95348075,320413.50000000,320413.50000000,320413.50923000,315000.00000000,1615418686,7,21,320413.5065928571,320413.5052742857,320404.6046338094,320409.05604333326,0,0
0,320413.5,320413.5,10/03/2021 20:24:48,0.0,buy,325000.00000000,303000.00000000,338.95348075,320413.50000000,320413.50000000,320413.50912000,315000.00000000,1615418688,7,21,320413.5052742857,320413.5039557143,320409.05604333326,320413.50745285704,0,0
0,320413.50912,320413.5,10/03/2021 20:24:49,2.846322019028557e-06,buy,325000.00000000,303000.00000000,338.95360238,320413.50912000,320413.50000000,320413.50912000,315000.00000000,1615418689,7,21,320413.5039557143,320413.50394,320413.50745285704,320413.50745238084,0,0
0,320413.50912,320413.50912,10/03/2021 20:24:50,0.0,buy,325000.00000000,303000.00000000,338.95495076,320413.50912000,320413.50000000,320413.50912000,315000.00000000,1615418691,7,21,320413.50394,320413.5039242857,320413.50745238084,320413.50745190465,0,0
0,320413.50912,320413.50912,10/03/2021 20:24:52,0.0,buy,325000.00000000,303000.00000000,338.95495076,320413.50912000,320413.50000000,320413.50912000,315000.00000000,1615418692,7,21,320413.5039242857,320413.50390857144,320413.50745190465,320413.5074514284,0,0
0,320413.50912,320413.50912,10/03/2021 20:24:53,0.0,buy,325000.00000000,303000.00000000,338.95495076,320413.50912000,320413.50000000,320413.50912000,315000.00000000,1615418693,7,21,320413.50390857144,320413.5052114286,320413.5074514284,320413.5074509522,0,0
0,320413.50912,320413.50912,10/03/2021 20:24:54,0.0,buy,325000.00000000,303000.00000000,338.95495076,320413.50912000,320413.50010000,320413.50912000,315000.00000000,1615418694,7,21,320413.5052114286,320413.50651428575,320413.5074509522,320413.5074457141,0,0
0,318401.86586,0,10/03/2021 20:34:29,0,none,325000.00000000,303000.00000000,338.59769783,318401.86586000,318401.86588000,318565.15968000,314899.98001000,1615419270,7,21,0,0,0,0,0,0
0,318958.71756,318401.86586,10/03/2021 20:36:30,0.1748895844237435,none,325000.00000000,303000.00000000,339.17996467,318958.71756000,318401.89211000,318958.71696000,314899.98000000,1615419390,7,21,0,0,0,0,0,0
0,318385.22441,318958.71756,10/03/2021 20:38:30,-0.17980168543037667,none,325000.00000000,303000.00000000,339.49481270,318385.22441000,316800.06070000,318385.16262000,314999.99000000,1615419510,7,21,0,0,0,0,0,0
0,317999.08409,318385.22441,10/03/2021 20:40:30,-0.12128085425935292,none,325000.00000000,303000.00000000,339.43722990,317999.08409000,316921.59106000,317999.06409000,314899.99000000,1615419630,7,21,0,0,0,0,0,0
